Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.1,0.1,-53.43666666666667,65.66666666666666,0.01726817475392851
0.3,0.1,-66.42333333333333,56.99999999999999,0.015495867768595042
0.5,0.1,-87.29333333333334,45.666666666666664,0.013219353132986694
0.7,0.1,-126.62333333333333,17.666666666666668,0.011104119628382128
1.0,0.1,-185.63,0.33333333333333337,0.010032438216901314
0.1,0.3,-47.09,69.66666666666667,0.01871140772157425
0.3,0.3,-57.82333333333333,63.0,0.01651436749972476
0.5,0.3,-67.60333333333334,58.666666666666664,0.01524932648808011
0.7,0.3,-85.17,45.33333333333333,0.013165401325317067
1.0,0.3,-112.71666666666667,32.666666666666664,0.012080212611741966
0.1,0.5,-43.89,69.66666666666667,0.019656663608963437
0.3,0.5,-52.00666666666667,66.0,0.017575722069248345
0.5,0.5,-44.06666666666667,76.33333333333333,0.01869042427263099
0.7,0.5,-29.913333333333334,87.0,0.023146362163413318
1.0,0.5,-21.3,95.33333333333334,0.025636643308836096
0.1,0.7,-45.806666666666665,69.0,0.019070624880808594
0.3,0.7,-38.123333333333335,78.0,0.019926934573231487
0.5,0.7,-17.51,94.66666666666667,0.027545679919199338
0.7,0.7,-7.1033333333333335,97.66666666666667,0.035079513564078575
1.0,0.7,-1.9666666666666666,96.66666666666667,0.040584415584415584
0.1,1.0,-43.67666666666667,70.0,0.019161982626469086
0.3,1.0,-21.13,88.0,0.02575991756826378
0.5,1.0,0.9366666666666666,99.33333333333333,0.044228217602830605
0.7,1.0,5.1,97.33333333333334,0.05244755244755245
1.0,1.0,-11.003333333333334,75.33333333333333,0.032690421706440015
